epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0606,1.28773,1.67062,1.19415,0.72922,0.72943,0.77136,0.49452,1.16276,1.94202,1.16392,0.000665008,0.000665008,0.000665008
2,97.5737,1.1419,1.09763,1.08477,0.77119,0.80718,0.85358,0.55458,1.13611,1.58367,1.13192,0.00130531,0.00130531,0.00130531
3,136.145,1.1192,1.00446,1.07755,0.81543,0.8298,0.88389,0.58167,1.12725,1.1105,1.12817,0.00191921,0.00191921,0.00191921
4,178.213,1.10952,0.94049,1.08453,0.79852,0.81397,0.85061,0.54419,1.16014,1.40754,1.13458,0.0018812,0.0018812,0.0018812
5,216.982,1.06513,0.88029,1.05714,0.82577,0.81312,0.87428,0.59653,1.05867,1.2931,1.10369,0.0018416,0.0018416,0.0018416
6,257.142,1.04143,0.84359,1.04331,0.86833,0.8185,0.91083,0.62186,0.99979,0.87604,1.06724,0.001802,0.001802,0.001802
7,301.098,1.03553,0.81524,1.03973,0.87018,0.86853,0.92574,0.6491,0.98769,0.88759,1.06156,0.0017624,0.0017624,0.0017624
8,345.373,1.01814,0.7878,1.03846,0.86975,0.84874,0.90811,0.63193,1.04317,0.82785,1.07284,0.0017228,0.0017228,0.0017228
9,386.189,1.01561,0.77633,1.0312,0.88735,0.85514,0.93001,0.63953,0.99912,0.82618,1.05105,0.0016832,0.0016832,0.0016832
10,425.417,0.99474,0.74884,1.03044,0.88377,0.89115,0.94042,0.66141,0.9754,0.7216,1.053,0.0016436,0.0016436,0.0016436
11,463.489,0.98232,0.72895,1.02588,0.88644,0.8691,0.93104,0.6442,1.00669,0.73925,1.05017,0.001604,0.001604,0.001604
12,502.775,0.98012,0.70921,1.02022,0.88639,0.88891,0.93387,0.66983,0.94567,0.75495,1.0395,0.0015644,0.0015644,0.0015644
13,544.903,0.95397,0.68618,1.01241,0.88619,0.87394,0.93422,0.66074,0.9779,0.78864,1.05152,0.0015248,0.0015248,0.0015248
14,583.297,0.94982,0.6891,1.01246,0.89141,0.88041,0.93724,0.66829,0.97625,0.71965,1.05663,0.0014852,0.0014852,0.0014852
15,622.201,0.93716,0.67341,1.00044,0.8832,0.90219,0.93657,0.66948,0.93852,0.73181,1.02226,0.0014456,0.0014456,0.0014456
16,666.803,0.92755,0.64672,1.00233,0.89123,0.8821,0.93463,0.67663,0.92693,0.69382,1.02376,0.001406,0.001406,0.001406
17,711.372,0.93112,0.64964,1.00217,0.88835,0.89303,0.9412,0.67588,0.93,0.73236,1.0208,0.0013664,0.0013664,0.0013664
18,751.387,0.93038,0.63937,0.9967,0.91305,0.89539,0.9413,0.68231,0.9316,0.72372,1.02733,0.0013268,0.0013268,0.0013268
19,790.913,0.91874,0.6285,0.9918,0.9126,0.9132,0.95565,0.69809,0.91377,0.62736,1.017,0.0012872,0.0012872,0.0012872
20,828.297,0.90912,0.61122,0.98898,0.90427,0.90161,0.95337,0.6918,0.91941,0.62056,1.03067,0.0012476,0.0012476,0.0012476
21,867.297,0.9031,0.61311,0.98772,0.89399,0.91793,0.94995,0.68298,0.93764,0.64527,1.0449,0.001208,0.001208,0.001208
22,906.661,0.90501,0.60326,0.99086,0.87689,0.90359,0.94362,0.69052,0.9049,0.65164,1.01108,0.0011684,0.0011684,0.0011684
23,946.168,0.89802,0.59192,0.98574,0.89284,0.92451,0.94982,0.68791,0.93832,0.6545,1.02038,0.0011288,0.0011288,0.0011288
24,985.518,0.88121,0.58136,0.97876,0.91385,0.91603,0.9576,0.70498,0.889,0.61506,0.99765,0.0010892,0.0010892,0.0010892
25,1030.2,0.88227,0.57703,0.97537,0.90159,0.92706,0.9576,0.69635,0.90604,0.63337,1.00231,0.0010496,0.0010496,0.0010496
26,1073.83,0.8629,0.56721,0.97125,0.90419,0.92338,0.95316,0.69813,0.89487,0.61839,0.99978,0.00101,0.00101,0.00101
27,1117.79,0.86584,0.56575,0.96668,0.90896,0.9146,0.9496,0.6915,0.92349,0.64289,1.0189,0.0009704,0.0009704,0.0009704
28,1156.73,0.8606,0.54882,0.96799,0.90034,0.92712,0.95371,0.70454,0.88315,0.60774,1.00398,0.0009308,0.0009308,0.0009308
29,1194.31,0.85603,0.55029,0.96499,0.89273,0.92233,0.94912,0.70024,0.88766,0.60231,1.00781,0.0008912,0.0008912,0.0008912
30,1233.4,0.84153,0.53353,0.96384,0.91336,0.92397,0.9512,0.70763,0.8751,0.63341,0.99455,0.0008516,0.0008516,0.0008516
31,1272.88,0.8539,0.54003,0.96182,0.92267,0.91755,0.95812,0.71262,0.88371,0.58109,1.0115,0.000812,0.000812,0.000812
32,1312.69,0.83428,0.52517,0.96111,0.91263,0.91548,0.95178,0.70767,0.87443,0.59549,0.9827,0.0007724,0.0007724,0.0007724
33,1350.92,0.82083,0.51835,0.95366,0.9265,0.91955,0.96041,0.7121,0.88162,0.56573,1.00468,0.0007328,0.0007328,0.0007328
34,1396.48,0.82876,0.51568,0.95744,0.91543,0.92423,0.95154,0.7096,0.87769,0.61686,0.99772,0.0006932,0.0006932,0.0006932
35,1439.91,0.81469,0.51116,0.95243,0.92015,0.93175,0.95896,0.71759,0.8641,0.55173,0.99638,0.0006536,0.0006536,0.0006536
36,1485.19,0.80023,0.49812,0.94948,0.92162,0.93158,0.96003,0.71891,0.86545,0.56109,0.9933,0.000614,0.000614,0.000614
37,1523.83,0.79638,0.49581,0.94902,0.92974,0.93017,0.95986,0.72126,0.85325,0.55136,0.98471,0.0005744,0.0005744,0.0005744
38,1561.58,0.78798,0.48946,0.94683,0.91708,0.92791,0.95646,0.71712,0.85413,0.57174,0.99237,0.0005348,0.0005348,0.0005348
39,1601.19,0.79741,0.483,0.9457,0.9308,0.92404,0.96016,0.7232,0.85102,0.55316,0.98494,0.0004952,0.0004952,0.0004952
40,1641.41,0.7893,0.47915,0.9425,0.92338,0.93808,0.96393,0.72043,0.85792,0.52931,0.98549,0.0004556,0.0004556,0.0004556
41,1679.32,0.74495,0.41903,0.92016,0.92559,0.93195,0.95753,0.72789,0.83051,0.57243,0.9824,0.000416,0.000416,0.000416
42,1716.34,0.72794,0.40348,0.91232,0.92824,0.92875,0.95779,0.7277,0.83713,0.56955,0.98394,0.0003764,0.0003764,0.0003764
43,1760.22,0.71676,0.39497,0.90445,0.94311,0.9234,0.95919,0.72392,0.83138,0.55283,0.98874,0.0003368,0.0003368,0.0003368
44,1803.24,0.70729,0.3869,0.90264,0.92483,0.94148,0.95825,0.73013,0.82893,0.55193,0.98419,0.0002972,0.0002972,0.0002972
